0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39
0.53746,0.31601,3.1501,0.0029337,1.9358,-0.41404,3.1406,-0.010893,-0.099113,0.64994,3.1546,0.0091915,1.8158,-0.35096,3.1415,-0.009717,0.8447,0.15589,3.148,-0.00010993,0.099677,0.54519,3.1531,0.0072483,-0.62196,0.92871,3.1585,0.014235,-0.87193,1.0643,3.1606,0.016598,0.68473,0.23921,3.1491,0.0014756,2.2598,-0.58552,3.1382,-0.014051
0.56858,0.30643,3.1504,0.0024782,1.8945,-0.41089,3.1396,-0.010076,-0.034889,0.63446,3.1554,0.0081557,1.7808,-0.34893,3.1405,-0.0090089,0.85995,0.14909,3.148,-0.00028634,0.15352,0.53158,3.1538,0.006393,-0.53011,0.90804,3.1599,0.01272,-0.76666,1.041,3.1622,0.01485,0.70824,0.23097,3.1493,0.0011539,2.2015,-0.57925,3.1369,-0.012936
0.59874,0.29666,3.1506,0.002048,1.8536,-0.40679,3.1386,-0.0092891,0.027747,0.61826,3.1562,0.0071711,1.7461,-0.34605,3.1397,-0.0083268,0.87452,0.14234,3.148,-0.00044939,0.20598,0.51742,3.1544,0.0055816,-0.44039,0.88625,3.1611,0.011277,-0.66378,1.0163,3.1636,0.013186,0.73092,0.22265,3.1494,0.00085184,2.144,-0.57177,3.1356,-0.011866
0.62791,0.28673,3.1508,0.0016425,1.8132,-0.40182,3.1377,-0.0085323,0.088733,0.60144,3.1569,0.0062363,1.7116,-0.3424,3.1389,-0.00767,0.88842,0.13567,3.1479,-0.00059959,0.25699,0.50279,3.1549,0.0048124,-0.3529,0.86346,3.1621,0.0099048,-0.56343,0.99053,3.1648,0.011604,0.75277,0.21429,3.1494,0.00056885,2.0872,-0.5632,3.1345,-0.010838
0.65608,0.27668,3.1509,0.0012612,1.7733,-0.39606,3.1369,-0.0078052,0.14801,0.5841,3.1574,0.0053505,1.6776,-0.33802,3.1381,-0.0070382,0.90166,0.12908,3.1479,-0.00073744,0.30651,0.48776,3.1554,0.0040843,-0.26772,0.83983,3.1631,0.0086027,-0.4657,0.96374,3.1659,0.010103,0.77378,0.2059,3.1495,0.00030432,2.0314,-0.55362,3.1335,-0.0098522
0.68325,0.26656,3.1511,0.00090331,1.734,-0.38958,3.1361,-0.0071075,0.20554,0.56631,3.1579,0.0045123,1.6441,-0.33299,3.1374,-0.0064314,0.91424,0.12258,3.1478,-0.00086341,0.35452,0.4724,3.1558,0.0033963,-0.18495,0.81547,3.1639,0.0073691,-0.37071,0.9361,3.1668,0.0086802,0.79395,0.19752,3.1495,5.7675e-05,1.9765,-0.54314,3.1325,-0.008909
0.7094,0.25639,3.1511,0.00056843,1.6954,-0.38244,3.1355,-0.0064391,0.26127,0.54817,3.1584,0.0037208,1.611,-0.32736,3.1368,-0.0058492,0.92618,0.1162,3.1477,-0.000978,0.40098,0.45677,3.1561,0.0027474,-0.10464,0.79051,3.1645,0.0062028,-0.27852,0.90774,3.1676,0.0073334,0.81328,0.18917,3.1495,-0.00017167,1.9228,-0.53186,3.1317,-0.0080078
0.73452,0.24621,3.1512,0.00025569,1.6575,-0.37472,3.1348,-0.0057998,0.31517,0.52974,3.1587,0.0029749,1.5786,-0.32121,3.1363,-0.0052916,0.93748,0.10993,3.1476,-0.0010817,0.44587,0.44095,3.1563,0.0021368,-0.026868,0.76505,3.1651,0.0051012,-0.1892,0.8788,3.1683,0.0060615,0.83179,0.18086,3.1495,-0.00038428,1.8702,-0.51986,3.1309,-0.0071486
0.75863,0.23605,3.1512,-3.5735e-05,1.6204,-0.36647,3.1343,-0.0051894,0.36722,0.51111,3.1589,0.0022733,1.5468,-0.31456,3.1358,-0.0047585,0.94816,0.1038,3.1475,-0.0011749,0.48917,0.42498,3.1565,0.0015634,0.048341,0.73922,3.1656,0.0040627,-0.10279,0.84939,3.1689,0.0048629,0.84946,0.17263,3.1494,-0.00058068,1.8188,-0.50722,3.1303,-0.0063293
0.78171,0.22593,3.1512,-0.00030649,1.5842,-0.35777,3.1338,-0.0046078,0.41739,0.49234,3.1591,0.001615,1.5157,-0.3075,3.1353,-0.0042497,0.95823,0.097806,3.1474,-0.0012583,0.53087,0.40893,3.1566,0.0010261,0.12095,0.7131,3.1659,0.0030862,-0.019329,0.81964,3.1693,0.0037359,0.86631,0.16449,3.1493,-0.00076152,1.7688,-0.49403,3.1297,-0.0055497
